temperatura,presion,velocidad_linea,vibracion,humedad,maquina,turno,material,defectuoso
207.83,59.0,99.83,1.49,43.38,M2,Matutino,B,0
184.57,53.92,97.39,2.46,40.22,M2,Matutino,A,0
185.95,40.81,118.01,2.38,37.17,M1,Matutino,A,0
201.75,52.97,111.53,2.3,31.38,M3,Matutino,B,0
207.78,54.6,97.43,2.35,33.92,M2,Matutino,A,0
196.18,46.46,110.15,3.76,54.81,M1,Nocturno,C,0
192.38,44.88,102.13,1.58,36.41,M1,Nocturno,A,0
204.51,57.49,131.85,4.25,55.64,M2,Matutino,C,1
185.43,53.59,97.27,2.27,44.9,M1,Vespertino,A,0
214.11,52.12,102.0,2.8,41.72,M2,Vespertino,B,0
208.5,48.72,85.19,2.28,28.0,M2,Matutino,B,0
211.27,48.32,85.31,2.87,44.95,M2,Nocturno,B,0
197.69,47.75,115.14,2.4,53.62,M1,Vespertino,B,0
201.04,48.42,114.04,2.51,40.88,M2,Matutino,B,0
181.59,46.68,108.87,2.57,41.75,M2,Vespertino,C,0
189.27,48.88,101.24,2.1,38.62,M1,Vespertino,A,0
201.63,53.43,106.71,2.62,46.62,M1,Matutino,A,0
190.6,48.35,107.28,1.7,42.66,M3,Nocturno,A,0
216.33,48.71,114.85,3.7,49.66,M1,Vespertino,A,1
202.92,48.38,94.27,1.75,41.39,M1,Vespertino,C,0
200.4,48.33,102.52,1.91,34.35,M1,Vespertino,B,0
190.77,59.96,126.87,2.1,39.52,M1,Matutino,C,0
187.1,56.89,81.1,2.25,45.84,M3,Vespertino,A,0
206.01,54.39,102.28,4.91,48.87,M3,Nocturno,C,1
198.41,56.82,102.27,2.75,43.42,M2,Vespertino,A,0
213.85,48.84,91.67,3.46,40.46,M3,Nocturno,B,1
190.8,41.6,108.56,2.98,43.9,M1,Nocturno,B,0
202.61,55.59,115.82,3.87,41.97,M3,Nocturno,A,0
194.68,56.79,90.16,2.64,40.08,M1,Matutino,C,0
199.37,47.35,96.16,3.47,32.12,M2,Vespertino,A,0
179.95,46.16,97.55,2.42,43.47,M1,Vespertino,B,0
204.32,44.65,112.02,4.56,57.51,M2,Nocturno,A,1
213.87,52.0,128.31,3.52,51.73,M3,Nocturno,A,1
212.01,47.52,105.1,3.83,42.29,M2,Matutino,C,0
195.05,57.75,122.44,1.8,37.85,M2,Matutino,B,0
200.6,58.3,120.21,2.29,44.78,M2,Vespertino,B,0
185.77,55.7,100.72,2.96,40.57,M1,Vespertino,A,0
191.32,51.67,96.18,2.91,39.33,M3,Nocturno,C,0
188.37,53.5,88.55,2.15,44.46,M3,Matutino,A,0
187.31,57.34,78.32,1.52,48.21,M3,Vespertino,C,0
196.92,51.78,77.22,2.78,48.44,M1,Vespertino,C,0
201.12,58.51,118.04,2.95,36.75,M1,Nocturno,C,0
190.82,57.38,109.58,4.86,37.61,M2,Nocturno,C,1
197.03,48.63,102.4,2.08,44.52,M2,Matutino,A,0
183.5,53.44,105.51,2.94,38.63,M1,Vespertino,A,0
216.89,57.51,110.65,3.05,48.65,M3,Vespertino,B,1
201.42,43.77,107.7,2.27,48.7,M2,Matutino,C,0
213.72,62.28,122.92,2.63,49.19,M3,Nocturno,C,1
211.74,55.86,93.38,2.73,32.71,M2,Matutino,A,0
196.06,53.34,109.65,1.92,47.09,M1,Vespertino,B,0
188.96,47.2,124.33,2.31,41.16,M1,Matutino,A,0
175.0,48.16,89.4,2.23,50.08,M1,Matutino,A,0
199.08,58.81,102.57,3.46,42.93,M2,Nocturno,B,0
188.64,51.27,104.25,1.92,35.31,M2,Matutino,B,0
205.01,55.11,96.42,2.5,44.56,M1,Nocturno,B,0
195.19,57.75,99.08,2.58,38.56,M1,Matutino,B,0
195.43,53.06,119.06,3.48,32.57,M2,Vespertino,B,0
193.98,48.0,103.69,4.33,51.37,M1,Vespertino,C,1
180.59,44.93,113.36,1.0,47.19,M2,Matutino,A,0
191.97,59.41,100.6,1.51,41.13,M2,Vespertino,B,0
212.61,61.29,116.7,1.8,37.83,M1,Vespertino,A,0
196.53,53.15,110.44,4.01,43.34,M2,Nocturno,C,1
177.74,55.98,115.55,3.45,44.7,M3,Nocturno,C,0
198.73,50.62,101.54,2.18,40.87,M2,Vespertino,A,0
196.58,43.31,77.27,2.02,38.39,M1,Vespertino,A,0
208.8,61.83,95.16,4.48,49.54,M2,Matutino,A,1
194.69,53.54,76.21,2.14,37.32,M1,Nocturno,A,0
186.42,53.87,95.81,1.85,43.64,M3,Nocturno,C,0
