Brand,Distance,Durability
Brand A,251.2,310
Brand B,263.2,261
Brand C,269.7,233
Brand A,245.1,235
Brand B,262.9,219
Brand C,263.2,289
Brand A,248,279
Brand B,265,263
Brand C,277.5,301
Brand A,251.1,306
Brand B,254.5,247
Brand C,267.4,264
Brand A,265.5,237
Brand B,264.3,288
Brand C,270.5,273
Brand A,250,284
Brand B,257,197
Brand C,265.5,208
Brand A,253.9,259
Brand B,262.8,207
Brand C,270.7,245
Brand A,244.6,273
Brand B,264.4,221
Brand C,272.9,271
Brand A,254.6,219
Brand B,260.6,244
Brand C,275.6,298
Brand A,248.8,301
Brand B,255.9,228
Brand C,266.5,276
