ds,y,marketing_spend,evento_especial
2025-01-01,288,105.00,0
2025-01-02,278,84.96,0
2025-01-03,257,78.72,0
2025-01-04,219,75.37,0
2025-01-05,220,82.47,0
2025-01-06,258,83.99,0
2025-01-07,269,76.50,0
2025-01-08,261,76.91,0
2025-01-09,270,84.30,0
2025-01-10,279,81.98,0
2025-01-11,212,75.19,0
2025-01-12,222,79.26,0
2025-01-13,271,85.00,0
2025-01-14,254,79.46,0
2025-01-15,321,75.14,1
2025-01-16,322,81.80,1
2025-01-17,267,84.40,0
2025-01-18,231,77.07,0
2025-01-19,217,76.36,0
2025-01-20,270,83.87,0
2025-01-21,273,82.65,0
2025-01-22,252,75.45,0
2025-01-23,266,78.53,0
2025-01-24,271,84.93,0
2025-01-25,216,80.20,0
2025-01-26,229,75.02,0
2025-01-27,269,81.08,0
2025-01-28,270,84.70,0
2025-01-29,273,77.71,0
2025-01-30,255,75.89,0
2025-01-31,286,108.35,0
2025-02-01,227,83.25,0
2025-02-02,211,75.81,0
2025-02-03,274,77.83,0
2025-02-04,275,84.75,0
2025-02-05,266,80.95,0
2025-02-06,274,75.01,0
2025-02-07,262,80.34,0
2025-02-08,222,84.90,0
2025-02-09,225,78.40,0
2025-02-10,255,75.51,0
2025-02-11,274,82.76,0
2025-02-12,277,83.78,0
2025-02-13,262,76.27,0
2025-02-14,277,77.18,0
2025-02-15,225,84.46,0
2025-02-16,218,81.67,0
2025-02-17,269,75.11,0
2025-02-18,259,79.59,0
2025-02-19,272,84.99,0
2025-02-20,275,79.12,0
2025-02-21,261,75.23,0
2025-02-22,235,82.11,0
2025-02-23,230,84.22,0
2025-02-24,260,76.80,0
2025-02-25,272,76.60,0
2025-02-26,264,84.07,0
2025-02-27,266,82.35,0
2025-02-28,273,75.32,0
2025-03-01,274,78.86,1
2025-03-02,309,109.97,1
2025-03-03,277,79.86,0
2025-03-04,260,75.06,0
2025-03-05,276,81.41,0
2025-03-06,268,84.58,0
2025-03-07,260,77.41,0
2025-03-08,228,76.09,0
2025-03-09,223,83.60,0
2025-03-10,276,82.98,0
2025-03-11,277,75.64,0
2025-03-12,264,78.14,0
2025-03-13,279,84.84,0
2025-03-14,270,80.61,0
2025-03-15,211,75.00,0
2025-03-16,231,80.68,0
2025-03-17,270,84.82,0
2025-03-18,269,78.08,0
2025-03-19,279,75.67,0
2025-03-20,270,83.04,0
2025-03-21,278,83.55,0
2025-03-22,227,76.05,0
2025-03-23,213,77.47,0
2025-03-24,277,84.60,0
2025-03-25,269,81.34,0
2025-03-26,263,75.05,0
2025-03-27,283,79.93,0
2025-03-28,274,84.97,0
2025-03-29,228,78.79,0
2025-03-30,231,75.35,0
