"InvoiceNo","CustomerID","InvoiceDate","Quantity","UnitPrice","Country"
"INV100001","C00329","2026-03-27 00:45:00","7","164.57","Netherlands"
"INV100002","C00143","2025-06-10 05:16:00","9","89.96","Germany"
"INV100003","C00024","2025-11-29 09:59:00","9","159.25","Italy"
"INV100004","C00244","2025-06-19 12:01:00","1","155.64","Belgium"
"INV100005","C00437","2026-03-05 01:18:00","2","44.63","United Kingdom"
"INV100006","C00201","2025-05-18 02:26:00","1","173.14","Germany"
"INV100007","C00349","2025-03-18 08:11:00","6","81.63","Germany"
"INV100008","C00245","2026-02-02 16:20:00","2","94.87","Netherlands"
"INV100009","C00061","2025-12-05 02:04:00","9","199.1","France"
"INV100010","C00138","2025-07-11 03:03:00","8","178.04","United Kingdom"
"INV100011","C00078","2025-09-22 15:44:00","5","125.62","Italy"
"INV100012","C00349","2025-06-14 02:30:00","7","154.94","Germany"
"INV100013","C00417","2025-06-21 14:21:00","2","151.93","Netherlands"
"INV100014","C00382","2025-12-19 19:31:00","4","71.9","Portugal"
"INV100015","C00418","2025-02-27 17:06:00","4","127.85","France"
"INV100016","C00153","2025-07-23 23:39:00","2","27.02","United Kingdom"
"INV100017","C00402","2025-04-28 21:17:00","3","139.83","France"
"INV100018","C00271","2025-05-13 13:14:00","8","34.23","Belgium"
"INV100019","C00367","2026-02-19 00:48:00","3","148.51","Italy"
"CINV100020","C00281","2025-09-27 09:06:00","4","89.56","Belgium"
"INV100021","C00171","2025-02-09 17:16:00","2","72.01","United Kingdom"
"INV100022","C00136","2025-01-12 21:26:00","7","88.65","Spain"
"INV100023","C00076","2025-11-27 10:44:00","8","14.51","France"
"INV100024","C00029","2025-03-10 13:02:00","7","46.44","Spain"
"INV100025","C00403","2025-06-30 04:25:00","9","154.16","Germany"
"INV100026","C00290","2025-10-10 04:30:00","5","98.34","Netherlands"
"INV100027","C00061","2026-02-14 23:46:00","6","5.02","Spain"
"INV100028","C00247","2025-02-15 08:05:00","6","69.62","United Kingdom"
"INV100029","C00306","2026-02-09 12:59:00","8","70.81","EIRE"
"INV100030","C00295","2026-01-07 21:06:00","3","5.59","United Kingdom"
"INV100031","C00426","2025-12-08 23:34:00","6","114.72","Germany"
"INV100032","C00441","2025-07-11 08:25:00","6","36.11","United Kingdom"
"INV100033","C00161","2025-08-18 01:43:00","5","71.42","United Kingdom"
"INV100034","C00424","2025-04-02 07:17:00","5","38.82","Netherlands"
"INV100035","C00055","2025-10-01 22:15:00","9","19.45","EIRE"
"INV100036","C00461","2025-07-13 06:39:00","6","114.54","United Kingdom"
"INV100037","C00434","2026-01-08 20:05:00","3","130.5","Netherlands"
"INV100038","C00068","2026-03-10 02:32:00","6","97.46","Italy"
