,region,gdp,school,adfert,chldmort,life,pop,urban,femlab,literacy,co2,gini,country
1,Africa,7300.399902,6.716666698,7.300000191,34.75,72.31666565,34172236,64.93333435,0.452199996,72.59999847,15,,Algeria
2,Africa,1338.800049,3.099999905,111.6999969,122.75,54.73333359,8237634,41,0.848200023,41.70000076,1.200000048,,Benin
3,Africa,12307.40039,8.600000381,52.09999847,60.25,52.25,1941233,59.25,0.887000024,84.09999847,9.199999809,,Botswana
4,Africa,1063.400024,1.299999952,124.8000031,170.5,53.78333282,15308383,23.58333397,0.858399987,23.60000038,0.200000003,,Burkina Faso
5,Africa,349.2000122,2.483333349,18.60000038,168.5,48.86666489,7821783,10.25,1.034399986,66.59999847,0.100000001,33.29999924,Burundi
6,Africa,1986.800049,5.650000095,127.8000031,155,50.11666489,18564118,56.36666489,0.653199971,,0.75,,Cameroon
7,Africa,3052.199951,3.5,81.59999847,30,73.33333588,484867,59.28333282,0.635800004,84.80000305,2.150000095,,Cape Verde
8,Africa,677,3.383333445,106.5999985,173.5,45.93333435,4203917,38.46666718,0.8222,55.20000076,0.200000003,,Central African Rep
9,Africa,1266.199951,1.5,164.5,209,48.56666565,10509983,26.39999962,0.800599992,33.59999847,0.100000001,,Chad
10,Africa,1099,2.799999952,58,105.75,59.78333282,688300,28,0.855399966,74.19999695,0.400000006,,Comoros
11,Africa,3628,5.850000381,118.6999969,125.75,56.01666641,3785517,61.1333313,0.754400015,,1.549999952,47.29999924,Congo
12,Africa,279.7999878,3.416666746,201.3999939,199,47.51666641,61654348,33.6333313,0.655200005,66.80000305,0.100000001,44.40000153,Congo (Dem Rep)
13,Africa,1539.199951,3.200000048,129.3999939,123.25,53.04999924,18844750,48.66666412,0.613200009,55.29999924,1.450000048,46.09999847,Côte d'Ivoire
14,Africa,1972.199951,3.799999952,22.89999962,96,56.59999847,848000,76.09999847,0.763599992,,2.200000048,,Djibouti
15,Africa,4754.399902,5.949999809,46.59999847,24.75,72.33333588,77645648,43.18333435,0.309199989,68.90000153,8.449999809,32.09999847,Egypt
16,Africa,27645.80078,5.400000095,122.9000015,149.5,50.06666565,653533,39.26666641,0.414000005,93.30000305,32.55000305,,Equatorial Guinea
17,Africa,579.5999756,3.400000095,66.59999847,60.5,60.01666641,4871634,20.45000076,0.725199997,66.59999847,0.5,,Eritrea
18,Africa,741.4000244,1.5,72.40000153,112,57.04999924,78593232,16.28333282,0.870000005,29.79999924,0.300000012,29.79999924,Ethiopia
19,Africa,13183.2002,7.183333397,89.90000153,72.5,61.15000153,1437467,84.8833313,0.840399981,87.69999695,5.550000191,41.5,Gabon
20,Africa,1218.400024,2.549999952,76.59999847,108.25,57.3666687,1614767,56.04999924,0.826399982,46.5,0.699999988,,Gambia
21,Africa,1303,6.783333302,71.09999847,75.25,62.51666641,23000534,49.6333313,0.976999998,66.59999847,1.350000024,42.79999924,Ghana
